"Pep"	"Molec"	"What"	"Value"	"DKL"	"tg"	"ba"
"pep1"	"DRB1_01"	"Mean"	0.628546315228503	0.0990191165533964	TRUE	TRUE
"pep1"	"DRB1_01"	"Mode"	0.955570912878393	0.0990191165533964	TRUE	TRUE
"pep1"	"DRB1_01"	"Median"	0.681255458377027	0.0990191165533964	TRUE	TRUE
"pep1"	"DRB1_04"	"Mean"	0.453372732462892	0.0667300203684707	FALSE	TRUE
"pep1"	"DRB1_04"	"Mode"	0.391046679369756	0.0667300203684707	FALSE	TRUE
"pep1"	"DRB1_04"	"Median"	0.447454926171657	0.0667300203684707	FALSE	TRUE
"pep1"	"DRB1_07"	"Mean"	0.331689345576905	0.230250738815053	NA	TRUE
"pep1"	"DRB1_07"	"Mode"	0.0361634363657123	0.230250738815053	NA	TRUE
"pep1"	"DRB1_07"	"Median"	0.304715924268218	0.230250738815053	NA	TRUE
"pep1"	"DRB1_08"	"Mean"	0.259181007554713	0.412788691170381	NA	NA
"pep1"	"DRB1_08"	"Mode"	0.0276905477545145	0.412788691170381	NA	NA
"pep1"	"DRB1_08"	"Median"	0.222576581207796	0.412788691170381	NA	NA
"pep1"	"DRB1_09"	"Mean"	0.228999714504866	0.523763572510266	NA	TRUE
"pep1"	"DRB1_09"	"Mode"	0.0137862723164218	0.523763572510266	NA	TRUE
"pep1"	"DRB1_09"	"Median"	0.193557264169917	0.523763572510266	NA	TRUE
"pep1"	"DRB1_11"	"Mean"	0.232697244082414	0.50104303462648	NA	TRUE
"pep1"	"DRB1_11"	"Mode"	0.0136297391169046	0.50104303462648	NA	TRUE
"pep1"	"DRB1_11"	"Median"	0.195186664383252	0.50104303462648	NA	TRUE
"pep1"	"DRB1_12"	"Mean"	0.278823503724081	0.476528804540367	NA	NA
"pep1"	"DRB1_12"	"Mode"	0.273904331417042	0.476528804540367	NA	NA
"pep1"	"DRB1_12"	"Median"	0.268417724475588	0.476528804540367	NA	NA
"pep1"	"DRB1_14"	"Mean"	0.319677142687713	0.304825464406416	NA	NA
"pep1"	"DRB1_14"	"Mode"	0.243335664308907	0.304825464406416	NA	NA
"pep1"	"DRB1_14"	"Median"	0.301815668219039	0.304825464406416	NA	NA
"pep1"	"DRB1_1501"	"Mean"	0.261014544610225	0.456099591031614	FALSE	TRUE
"pep1"	"DRB1_1501"	"Mode"	0.200311321209872	0.456099591031614	FALSE	TRUE
"pep1"	"DRB1_1501"	"Median"	0.239187208764886	0.456099591031614	FALSE	TRUE
"pep1"	"DRB1_1502"	"Mean"	0.407472748910123	0.167952930889159	FALSE	FALSE
"pep1"	"DRB1_1502"	"Mode"	0.425171319022192	0.167952930889159	FALSE	FALSE
"pep1"	"DRB1_1502"	"Median"	0.404172371999268	0.167952930889159	FALSE	FALSE
"pep1"	"DRB1_16"	"Mean"	0.187181515823708	0.689016758987282	NA	NA
"pep1"	"DRB1_16"	"Mode"	0.0219818615511321	0.689016758987282	NA	NA
"pep1"	"DRB1_16"	"Median"	0.150785754102515	0.689016758987282	NA	NA
"pep1"	"DRB1_03"	"Mean"	0.360411728494327	0.142390840111268	NA	FALSE
"pep1"	"DRB1_03"	"Mode"	0.0525168720121585	0.142390840111268	NA	FALSE
"pep1"	"DRB1_03"	"Median"	0.325154258188405	0.142390840111268	NA	FALSE
"pep1"	"DQB1_02"	"Mean"	0.321397383323053	0.241147621039735	NA	NA
"pep1"	"DQB1_02"	"Mode"	0.0250180289366459	0.241147621039735	NA	NA
"pep1"	"DQB1_02"	"Median"	0.287901849125325	0.241147621039735	NA	NA
"pep1"	"DQB1_03"	"Mean"	0.120070635373365	1.1292486140791	FALSE	TRUE
"pep1"	"DQB1_03"	"Mode"	0.0056893121724374	1.1292486140791	FALSE	TRUE
"pep1"	"DQB1_03"	"Median"	0.0965638292317431	1.1292486140791	FALSE	TRUE
"pep1"	"DQB1_04"	"Mean"	0.36790570683814	0.134813844297579	NA	NA
"pep1"	"DQB1_04"	"Mode"	0.0348235662655868	0.134813844297579	NA	NA
"pep1"	"DQB1_04"	"Median"	0.339006890909273	0.134813844297579	NA	NA
"pep1"	"DQB1_05"	"Mean"	0.18844041884845	0.781544843399459	NA	NA
"pep1"	"DQB1_05"	"Mode"	0.144531332327625	0.781544843399459	NA	NA
"pep1"	"DQB1_05"	"Median"	0.172065275749671	0.781544843399459	NA	NA
"pep1"	"DQB1_06"	"Mean"	0.17654768324255	0.775687119382863	FALSE	TRUE
"pep1"	"DQB1_06"	"Mode"	0.00395977905886837	0.775687119382863	FALSE	TRUE
"pep1"	"DQB1_06"	"Median"	0.14917961414747	0.775687119382863	FALSE	TRUE
"pep2"	"DRB1_01"	"Mean"	0.564087207726091	0.0274829254352727	FALSE	TRUE
"pep2"	"DRB1_01"	"Mode"	0.985153565512146	0.0274829254352727	FALSE	TRUE
"pep2"	"DRB1_01"	"Median"	0.597438044393198	0.0274829254352727	FALSE	TRUE
"pep2"	"DRB1_04"	"Mean"	0.390005677822098	0.103058803736249	FALSE	FALSE
"pep2"	"DRB1_04"	"Mode"	0.0980096059122075	0.103058803736249	FALSE	FALSE
"pep2"	"DRB1_04"	"Median"	0.365151493930388	0.103058803736249	FALSE	FALSE
"pep2"	"DRB1_07"	"Mean"	0.629958367937662	0.101355018057176	NA	FALSE
"pep2"	"DRB1_07"	"Mode"	0.997584388335899	0.101355018057176	NA	FALSE
"pep2"	"DRB1_07"	"Median"	0.680239704418772	0.101355018057176	NA	FALSE
"pep2"	"DRB1_08"	"Mean"	0.40411331603632	0.0912968574400426	NA	NA
"pep2"	"DRB1_08"	"Mode"	0.283483484868892	0.0912968574400426	NA	NA
"pep2"	"DRB1_08"	"Median"	0.384122219668542	0.0912968574400426	NA	NA
"pep2"	"DRB1_09"	"Mean"	0.262769764431652	0.401793994937667	NA	TRUE
"pep2"	"DRB1_09"	"Mode"	0.0158625929606805	0.401793994937667	NA	TRUE
"pep2"	"DRB1_09"	"Median"	0.226179223134232	0.401793994937667	NA	TRUE
"pep2"	"DRB1_11"	"Mean"	0.285226313285479	0.323101252056452	NA	FALSE
"pep2"	"DRB1_11"	"Mode"	0.016086141980709	0.323101252056452	NA	FALSE
"pep2"	"DRB1_11"	"Median"	0.246938259845974	0.323101252056452	NA	FALSE
"pep2"	"DRB1_12"	"Mean"	0.461095736895006	0.198594703168161	NA	NA
"pep2"	"DRB1_12"	"Mode"	0.560722791679514	0.198594703168161	NA	NA
"pep2"	"DRB1_12"	"Median"	0.475688025435218	0.198594703168161	NA	NA
"pep2"	"DRB1_14"	"Mean"	0.47091055657793	0.0673075139534317	NA	NA
"pep2"	"DRB1_14"	"Mode"	0.568845295504026	0.0673075139534317	NA	NA
"pep2"	"DRB1_14"	"Median"	0.476145775609475	0.0673075139534317	NA	NA
"pep2"	"DRB1_1501"	"Mean"	0.489417778868498	0.0530873193940637	TRUE	FALSE
"pep2"	"DRB1_1501"	"Mode"	0.516774722359145	0.0530873193940637	TRUE	FALSE
"pep2"	"DRB1_1501"	"Median"	0.501308296410862	0.0530873193940637	TRUE	FALSE
"pep2"	"DRB1_1502"	"Mean"	0.274778905485605	0.388473860522419	FALSE	FALSE
"pep2"	"DRB1_1502"	"Mode"	0.0876825830505685	0.388473860522419	FALSE	FALSE
"pep2"	"DRB1_1502"	"Median"	0.247106144920319	0.388473860522419	FALSE	FALSE
"pep2"	"DRB1_16"	"Mean"	0.297708337416619	0.291935968166341	NA	NA
"pep2"	"DRB1_16"	"Mode"	0.0202042943969396	0.291935968166341	NA	NA
"pep2"	"DRB1_16"	"Median"	0.261053133554965	0.291935968166341	NA	NA
"pep2"	"DRB1_03"	"Mean"	0.352656030179459	0.149895738413736	NA	FALSE
"pep2"	"DRB1_03"	"Mode"	0.0119691857607095	0.149895738413736	NA	FALSE
"pep2"	"DRB1_03"	"Median"	0.313600920687396	0.149895738413736	NA	FALSE
"pep2"	"DQB1_02"	"Mean"	0.378951827640961	0.11659728739527	NA	NA
"pep2"	"DQB1_02"	"Mode"	0.0633068889899632	0.11659728739527	NA	NA
"pep2"	"DQB1_02"	"Median"	0.352997560929107	0.11659728739527	NA	NA
"pep2"	"DQB1_03"	"Mean"	0.229386812867566	0.55546211295336	FALSE	TRUE
"pep2"	"DQB1_03"	"Mode"	0.040863046875303	0.55546211295336	FALSE	TRUE
"pep2"	"DQB1_03"	"Median"	0.203847931549467	0.55546211295336	FALSE	TRUE
"pep2"	"DQB1_04"	"Mean"	0.368385458020464	0.12885050598274	NA	NA
"pep2"	"DQB1_04"	"Mode"	0.05276663052418	0.12885050598274	NA	NA
"pep2"	"DQB1_04"	"Median"	0.338546453086709	0.12885050598274	NA	NA
"pep2"	"DQB1_05"	"Mean"	0.232469714756886	0.57551449076448	NA	NA
"pep2"	"DQB1_05"	"Mode"	0.131600986495463	0.57551449076448	NA	NA
"pep2"	"DQB1_05"	"Median"	0.213464049412495	0.57551449076448	NA	NA
"pep2"	"DQB1_06"	"Mean"	0.416408126681851	0.131506223083576	FALSE	TRUE
"pep2"	"DQB1_06"	"Mode"	0.384576633615783	0.131506223083576	FALSE	TRUE
"pep2"	"DQB1_06"	"Median"	0.414884053543638	0.131506223083576	FALSE	TRUE
"pep3"	"DRB1_01"	"Mean"	0.550965084765769	0.0195125821342533	TRUE	FALSE
"pep3"	"DRB1_01"	"Mode"	0.931456615993763	0.0195125821342533	TRUE	FALSE
"pep3"	"DRB1_01"	"Median"	0.566758049559851	0.0195125821342533	TRUE	FALSE
"pep3"	"DRB1_04"	"Mean"	0.60834924185964	0.0705813607444262	FALSE	FALSE
"pep3"	"DRB1_04"	"Mode"	0.95311240398472	0.0705813607444262	FALSE	FALSE
"pep3"	"DRB1_04"	"Median"	0.655816215760326	0.0705813607444262	FALSE	FALSE
"pep3"	"DRB1_07"	"Mean"	0.399013387190918	0.101164172869269	NA	FALSE
"pep3"	"DRB1_07"	"Mode"	0.314971593572669	0.101164172869269	NA	FALSE
"pep3"	"DRB1_07"	"Median"	0.379907593268268	0.101164172869269	NA	FALSE
"pep3"	"DRB1_08"	"Mean"	0.412944906127233	0.0979382256329603	NA	NA
"pep3"	"DRB1_08"	"Mode"	0.39027589656298	0.0979382256329603	NA	NA
"pep3"	"DRB1_08"	"Median"	0.403105222124439	0.0979382256329603	NA	NA
"pep3"	"DRB1_09"	"Mean"	0.466266256986661	0.0600850242206161	NA	FALSE
"pep3"	"DRB1_09"	"Mode"	0.470428108756571	0.0600850242206161	NA	FALSE
"pep3"	"DRB1_09"	"Median"	0.468618473495005	0.0600850242206161	NA	FALSE
"pep3"	"DRB1_11"	"Mean"	0.279895465750041	0.339226913770904	NA	FALSE
"pep3"	"DRB1_11"	"Mode"	0.0118860317419716	0.339226913770904	NA	FALSE
"pep3"	"DRB1_11"	"Median"	0.24296191560445	0.339226913770904	NA	FALSE
"pep3"	"DRB1_12"	"Mean"	0.36229639749412	0.289135831504064	NA	NA
"pep3"	"DRB1_12"	"Mode"	0.314375412441238	0.289135831504064	NA	NA
"pep3"	"DRB1_12"	"Median"	0.358033010412067	0.289135831504064	NA	NA
"pep3"	"DRB1_14"	"Mean"	0.372464677742584	0.187496814503377	NA	NA
"pep3"	"DRB1_14"	"Mode"	0.343908268204476	0.187496814503377	NA	NA
"pep3"	"DRB1_14"	"Median"	0.35960023375461	0.187496814503377	NA	NA
"pep3"	"DRB1_1501"	"Mean"	0.375874258165636	0.162587911256897	FALSE	FALSE
"pep3"	"DRB1_1501"	"Mode"	0.260011469773139	0.162587911256897	FALSE	FALSE
"pep3"	"DRB1_1501"	"Median"	0.362638037998275	0.162587911256897	FALSE	FALSE
"pep3"	"DRB1_1502"	"Mean"	0.30067289798218	0.339912680662842	FALSE	FALSE
"pep3"	"DRB1_1502"	"Mode"	0.191563432902005	0.339912680662842	FALSE	FALSE
"pep3"	"DRB1_1502"	"Median"	0.279210767104083	0.339912680662842	FALSE	FALSE
"pep3"	"DRB1_16"	"Mean"	0.29305790598519	0.305801219296135	NA	NA
"pep3"	"DRB1_16"	"Mode"	0.0172155815024656	0.305801219296135	NA	NA
"pep3"	"DRB1_16"	"Median"	0.256405139772346	0.305801219296135	NA	NA
"pep3"	"DRB1_03"	"Mean"	0.573512255118263	0.0339302528622774	NA	FALSE
"pep3"	"DRB1_03"	"Mode"	0.970192931363933	0.0339302528622774	NA	FALSE
"pep3"	"DRB1_03"	"Median"	0.607826337031294	0.0339302528622774	NA	FALSE
"pep3"	"DQB1_02"	"Mean"	0.400669915684197	0.104611922473913	NA	NA
"pep3"	"DQB1_02"	"Mode"	0.322731588341937	0.104611922473913	NA	NA
"pep3"	"DQB1_02"	"Median"	0.384671717327696	0.104611922473913	NA	NA
"pep3"	"DQB1_03"	"Mean"	0.349090501899744	0.27785436947991	TRUE	TRUE
"pep3"	"DQB1_03"	"Mode"	0.333124920055399	0.27785436947991	TRUE	TRUE
