"Pep"	"Molec"	"What"	"Value"	"DKL"	"tg"	"ba"
"pep1"	"DR_11"	"Mean"	0.108220908873215	1.23031611262199	NA	1
"pep1"	"DR_11"	"Mode"	0.00660606788741024	1.23031611262199	NA	1
"pep1"	"DR_11"	"Median"	0.087406061557456	1.23031611262199	NA	1
"pep1"	"DR_1"	"Mean"	0.0520707317582537	1.92683860835101	0	1
"pep1"	"DR_1"	"Mode"	0.0010025215697985	1.92683860835101	0	1
"pep1"	"DR_1"	"Median"	0.0365574304317152	1.92683860835101	0	1
"pep1"	"DR_4"	"Mean"	0.0582715743430111	1.84029415097766	0	1
"pep1"	"DR_4"	"Mode"	0.00204632544919252	1.84029415097766	0	1
"pep1"	"DR_4"	"Median"	0.0458230411753504	1.84029415097766	0	1
"pep1"	"DR_15"	"Mean"	0.0395312694054697	2.19837648187835	0	1
"pep1"	"DR_15"	"Mode"	0.000178310868455993	2.19837648187835	0	1
"pep1"	"DR_15"	"Median"	0.0275589639347559	2.19837648187835	0	1
"pep1"	"DR_13"	"Mean"	0.140728674572952	0.977881164726712	NA	0
"pep1"	"DR_13"	"Mode"	0.00556510844476445	0.977881164726712	NA	0
"pep1"	"DR_13"	"Median"	0.111285275337361	0.977881164726712	NA	0
"pep1"	"DR_17"	"Mean"	0.111078343171476	1.18370451576522	NA	NA
"pep1"	"DR_17"	"Mode"	0.00264439729127745	1.18370451576522	NA	NA
"pep1"	"DR_17"	"Median"	0.081786022807985	1.18370451576522	NA	NA
"pep1"	"DR_14"	"Mean"	0.104464095852628	1.25608449362032	NA	NA
"pep1"	"DR_14"	"Mode"	0.00660623551897068	1.25608449362032	NA	NA
"pep1"	"DR_14"	"Median"	0.0802371929919874	1.25608449362032	NA	NA
"pep1"	"DR_7"	"Mean"	0.0705049586566771	1.63110329653254	NA	1
"pep1"	"DR_7"	"Mode"	0.0025974086038009	1.63110329653254	NA	1
"pep1"	"DR_7"	"Median"	0.050354047100567	1.63110329653254	NA	1
"pep1"	"DR_8"	"Mean"	0.284860911934423	0.294932345686053	NA	NA
"pep1"	"DR_8"	"Mode"	0.0332129054436266	0.294932345686053	NA	NA
"pep1"	"DR_8"	"Median"	0.232434411512395	0.294932345686053	NA	NA
"pep1"	"DR_12"	"Mean"	0.259446457379327	0.396252552966163	NA	NA
"pep1"	"DR_12"	"Mode"	0.0073098408392535	0.396252552966163	NA	NA
"pep1"	"DR_12"	"Median"	0.217175810222227	0.396252552966163	NA	NA
"pep1"	"DR_10"	"Mean"	0.307383819040883	0.28421594843138	NA	NA
"pep1"	"DR_10"	"Mode"	0.233616733945854	0.28421594843138	NA	NA
"pep1"	"DR_10"	"Median"	0.278540230759799	0.28421594843138	NA	NA
"pep1"	"DR_9"	"Mean"	0.23884888987756	0.488469351471261	NA	1
"pep1"	"DR_9"	"Mode"	0.0118538340064113	0.488469351471261	NA	1
"pep1"	"DR_9"	"Median"	0.203663793134231	0.488469351471261	NA	1
"pep1"	"DQ_6"	"Mean"	0.0333456803433135	2.37097973449395	NA	NA
"pep1"	"DQ_6"	"Mode"	0.00125647315753038	2.37097973449395	NA	NA
"pep1"	"DQ_6"	"Median"	0.0238188259339322	2.37097973449395	NA	NA
"pep1"	"DQ_2"	"Mean"	0.0525613560716898	1.92244748909812	NA	NA
"pep1"	"DQ_2"	"Mode"	0.00380510357094974	1.92244748909812	NA	NA
"pep1"	"DQ_2"	"Median"	0.0386772172567504	1.92244748909812	NA	NA
"pep1"	"DQ_5"	"Mean"	0.0357618255413822	2.31261878491428	NA	NA
"pep1"	"DQ_5"	"Mode"	0.000706171942144071	2.31261878491428	NA	NA
"pep1"	"DQ_5"	"Median"	0.0246072662225241	2.31261878491428	NA	NA
"pep1"	"DQ_7"	"Mean"	0.0556841248963143	1.86136406574388	NA	NA
"pep1"	"DQ_7"	"Mode"	0.00328470798206954	1.86136406574388	NA	NA
"pep1"	"DQ_7"	"Median"	0.0389702178889925	1.86136406574388	NA	NA
"pep1"	"DQ_8"	"Mean"	0.105807793620619	1.26473303255724	NA	NA
"pep1"	"DQ_8"	"Mode"	0.0180818868307331	1.26473303255724	NA	NA
"pep1"	"DQ_8"	"Median"	0.0846062355968374	1.26473303255724	NA	NA
"pep1"	"DQ_9"	"Mean"	0.145571382505109	0.913184143498338	NA	NA
"pep1"	"DQ_9"	"Mode"	0.0041580666180757	0.913184143498338	NA	NA
"pep1"	"DQ_9"	"Median"	0.10734686919188	0.913184143498338	NA	NA
"pep2"	"DR_11"	"Mean"	0.325834486054629	0.354984212795731	NA	1
"pep2"	"DR_11"	"Mode"	0.30183734842046	0.354984212795731	NA	1
"pep2"	"DR_11"	"Median"	0.317146824176521	0.354984212795731	NA	1
"pep2"	"DR_1"	"Mean"	0.113458218764681	1.22603515479501	0	1
"pep2"	"DR_1"	"Mode"	0.0162521880449007	1.22603515479501	0	1
"pep2"	"DR_1"	"Median"	0.0972097400810364	1.22603515479501	0	1
"pep2"	"DR_4"	"Mean"	0.0752934414425323	1.58659549699763	0	1
"pep2"	"DR_4"	"Mode"	0.00284208247906708	1.58659549699763	0	1
"pep2"	"DR_4"	"Median"	0.0588184107088933	1.58659549699763	0	1
"pep2"	"DR_15"	"Mean"	0.084630703984556	1.46746029475002	0	1
